customer_id,recency_days,frequency,monetary_total,avg_order_value,tenure_days,delivery_share,avg_items_per_order,item_diversity,tip_rate,modifiers_per_order,lapsed
262,1,6,230.51,38.418333,359,1.00000,2.3333,10,0.104117,0.3333,1
263,56,7,245.72,35.102857,304,0.14286,3.2857,6,0.019087,1.7143,0
264,80,6,127.33,21.221667,280,0.50000,1.1667,5,0.000000,1.3333,1
265,67,20,1008.28,50.414000,293,0.85000,3.0000,13,0.137759,3.5500,0
272,70,8,325.13,40.641250,290,0.00000,5.6250,8,0.018454,2.0000,0
276,82,19,406.44,21.391579,278,0.00000,1.8947,24,0.043057,0.7368,0
283,69,4,88.53,22.132500,290,0.50000,3.2500,6,0.000000,5.5000,1
284,3,40,967.44,24.186000,356,0.95000,1.1250,2,0.124039,5.5250,0
287,32,7,130.54,18.648571,327,0.00000,2.2857,8,0.000000,0.7143,0
291,24,19,915.24,48.170526,335,0.21053,2.7895,11,0.135451,0.5263,0
292,1,29,1566.36,54.012414,358,1.00000,3.8276,19,0.039263,1.9655,0
293,37,5,167.83,33.566000,322,1.00000,1.8000,4,0.131323,1.0000,0
295,30,23,459.62,19.983478,329,0.95652,1.6087,11,0.047866,1.6522,0
296,65,15,668.64,44.576000,294,0.73333,4.3333,8,0.093025,0.6000,0
298,57,4,112.24,28.060000,302,0.00000,1.2500,2,0.122951,2.0000,1
299,9,59,1795.27,30.428305,350,0.08475,2.1525,27,0.030636,1.8983,0
303,8,5,158.76,31.752000,351,0.60000,1.4000,6,0.133913,1.4000,0
304,21,12,446.84,37.236667,338,0.00000,4.0000,20,0.065012,1.0833,0
305,21,15,1126.05,75.070000,338,1.00000,4.0667,14,0.105768,1.6667,0
306,2,30,2407.48,80.249333,357,0.83333,3.5333,29,0.093313,5.5000,0
307,29,4,278.71,69.677500,330,0.50000,2.5000,3,0.105486,0.7500,1
310,76,10,349.36,34.936000,283,0.30000,3.0000,19,0.000000,2.5000,0
311,11,11,251.92,22.901818,348,1.00000,1.0909,6,0.000000,0.6364,0
317,29,5,225.50,45.100000,330,1.00000,2.2000,8,0.115743,2.6000,0
319,23,13,361.58,27.813846,336,0.00000,2.0769,15,0.024891,2.0000,0
320,37,13,750.09,57.699231,322,1.00000,3.2308,16,0.113120,5.6923,1
322,49,22,694.97,31.589545,310,0.40909,1.6364,8,0.000000,1.0000,1
324,2,18,453.89,25.216111,357,0.00000,1.2222,5,0.185397,1.0000,0
329,58,19,595.28,31.330526,301,0.00000,1.7368,15,0.023518,1.4211,0
332,1,22,1058.97,48.135000,358,0.59091,2.8182,18,0.137350,1.4091,0
333,19,15,586.78,39.118667,340,0.93333,3.0667,12,0.063601,0.8000,0
334,9,6,326.74,54.456667,350,1.00000,2.8333,10,0.128849,7.0000,1
336,2,26,524.83,20.185769,357,1.00000,1.0000,7,0.109864,1.6923,0
337,13,2,34.24,17.120000,346,0.00000,1.5000,3,0.000000,0.5000,0
339,8,35,974.18,27.833714,351,0.00000,1.9143,14,0.001027,2.4857,0
341,16,10,333.79,33.379000,343,1.00000,1.9000,2,0.110998,2.4000,0
344,17,9,243.87,27.096667,342,0.00000,1.5556,6,0.036905,0.3333,0
347,7,19,481.72,25.353684,352,0.63158,2.1053,6,0.120402,2.0526,0
348,2,62,2489.70,40.156452,357,0.25806,2.2581,46,0.096397,2.0484,0
350,36,11,250.49,22.771818,323,0.63636,1.0909,7,0.126432,1.0909,0
353,25,28,663.13,23.683214,334,0.00000,1.9643,23,0.057304,0.7857,0
357,41,5,231.33,46.266000,318,0.40000,4.0000,10,0.064842,3.6000,0
360,30,5,132.96,26.592000,329,0.40000,2.2000,4,0.000150,0.0000,0
367,2,37,1328.86,35.915135,356,0.43243,3.1892,28,0.039854,1.8378,0
370,21,3,61.10,20.366667,337,0.00000,2.0000,5,0.111293,3.0000,0
372,43,7,273.33,39.047143,315,0.14286,2.1429,6,0.000000,4.2857,0
375,5,198,6332.49,31.982273,353,0.00000,3.0253,80,0.013068,1.8838,0
381,1,29,1076.99,37.137586,357,0.17241,4.3448,14,0.000000,1.0690,0
382,24,15,197.95,13.196667,334,0.00000,1.0667,5,0.000000,0.7333,0
386,32,12,519.11,43.259167,326,1.00000,2.7500,10,0.032748,2.5833,0
387,59,12,516.54,43.045000,299,0.16667,2.5833,4,0.000000,1.3333,0
388,18,4,151.07,37.767500,340,0.00000,2.0000,6,0.132389,1.2500,0
389,11,13,537.67,41.359231,347,0.00000,3.0000,16,0.000000,0.9231,0
399,86,2,72.88,36.440000,272,0.50000,2.5000,5,0.027442,3.0000,1
400,61,9,232.26,25.806667,297,0.00000,1.8889,9,0.077499,1.3333,0
404,21,6,387.06,64.510000,337,0.83333,4.6667,18,0.113290,2.3333,0
406,31,20,1072.96,53.648000,327,1.00000,3.0500,9,0.000000,2.5500,0
407,21,24,2126.78,88.615833,337,0.00000,4.2917,21,0.038556,3.3750,0
408,8,11,287.21,26.110000,350,0.00000,4.4545,11,0.017409,2.2727,0
409,1,13,611.18,47.013846,357,0.76923,3.4615,19,0.000000,1.0000,0
412,1,28,1412.43,50.443929,357,0.96429,3.0000,15,0.146025,3.8929,0
413,49,7,411.42,58.774286,309,1.00000,3.7143,10,0.115697,7.5714,0
421,8,3,54.58,18.193333,349,1.00000,3.0000,3,0.000000,1.0000,0
426,90,15,297.38,19.825333,267,0.00000,1.2667,7,0.003363,1.0667,0
